time,pressure[mbar]
04/25/22 00:09:39,0.00034
04/25/22 01:49:50,0.00028
04/25/22 03:30:01,0.00025
04/25/22 05:10:11,0.00022
04/25/22 06:50:22,0.00019
04/25/22 08:30:32,0.00018
04/25/22 10:10:43,0.00016
04/25/22 11:50:54,0.00014
04/25/22 13:31:05,3.8e-05
04/25/22 15:11:15,6.8e-05
04/25/22 16:51:26,7.6e-05
04/25/22 18:31:37,7.6e-05
04/25/22 20:06:39,7.9e-05
04/25/22 21:46:49,7.3e-05
04/25/22 23:27:00,9.2e-05
04/26/22 00:07:04,9.6e-05
04/26/22 01:47:15,8.6e-05
04/26/22 03:27:26,7.6e-05
04/26/22 05:07:37,6.8e-05
04/26/22 06:47:47,6.3e-05
04/26/22 08:27:58,6.1e-05
04/26/22 10:08:09,5.8e-05
04/26/22 11:48:20,4.8e-05
04/26/22 13:28:30,2.5e-05
04/26/22 15:08:41,1.8e-05
04/26/22 16:48:52,2.2e-05
04/26/22 18:29:02,2.2e-05
04/26/22 20:09:13,2.3e-05
04/26/22 21:49:24,3.2e-05
04/26/22 23:29:34,3.4e-05
04/27/22 00:09:39,3.5e-05
04/27/22 01:49:49,3.4e-05
04/27/22 03:30:00,3.4e-05
04/27/22 05:10:11,3.3e-05
04/27/22 06:50:22,3.4e-05
04/27/22 08:30:32,3.4e-05
04/27/22 10:10:43,0.0
04/27/22 11:50:54,0.0
04/27/22 16:07:49,0.63
04/27/22 16:13:00,0.58
04/27/22 16:19:37,0.54
04/27/22 16:39:47,0.45
04/27/22 16:59:58,0.4
04/27/22 17:13:14,0.22
04/27/22 17:18:24,0.028
04/27/22 17:23:34,0.013
04/27/22 17:28:45,0.0082
04/27/22 17:33:55,0.0065
04/27/22 17:39:05,0.0056
04/27/22 17:44:15,0.0048
04/27/22 18:12:05,0.0026
04/27/22 19:02:15,0.0015
04/27/22 19:52:26,0.0011
04/27/22 20:42:37,0.00086
04/27/22 21:32:48,0.00079
04/27/22 22:22:58,0.00058
04/27/22 23:13:09,0.0005
04/28/22 00:03:20,0.00043
04/28/22 00:53:31,0.00038
04/28/22 01:43:42,0.00034
04/28/22 02:33:52,0.00032
04/28/22 03:24:03,0.00028
04/28/22 04:14:13,0.00025
04/28/22 05:04:24,0.00023
04/28/22 05:54:35,0.00022
04/28/22 06:44:46,0.0002
04/28/22 07:34:56,0.00018
04/28/22 08:43:37,0.00017
04/28/22 10:23:48,7.6e-05
04/28/22 12:03:59,5e-05
04/28/22 13:44:09,7.6e-05
04/28/22 15:24:20,7.1e-05
04/28/22 17:04:30,7.1e-05
04/28/22 18:44:41,7.1e-05
04/28/22 20:24:52,8.9e-05
04/28/22 22:05:02,9.2e-05
04/28/22 23:45:13,8.2e-05
04/29/22 00:05:15,7.9e-05
04/29/22 01:45:26,6.8e-05
04/29/22 03:25:37,5.8e-05
04/29/22 05:05:48,4.6e-05
04/29/22 06:45:58,4.5e-05
04/29/22 08:26:09,4.3e-05
04/29/22 10:06:20,4.3e-05
04/29/22 11:46:31,4.3e-05
04/29/22 13:26:42,4.8e-05
04/29/22 15:06:52,4.8e-05
04/29/22 16:47:03,5e-05
04/29/22 18:27:14,5e-05
04/29/22 20:07:24,4.8e-05
04/29/22 21:47:35,4.8e-05
04/29/22 23:27:46,4.6e-05
04/30/22 00:07:50,4.6e-05
04/30/22 01:48:01,4.5e-05
04/30/22 03:28:11,4.3e-05
04/30/22 05:08:22,4.3e-05
04/30/22 06:48:32,4.1e-05
04/30/22 08:28:43,3.8e-05
04/30/22 10:40:48,2.6e-05
04/30/22 11:53:05,1.4e-05
04/30/22 12:43:16,1.3e-05
04/30/22 13:33:26,9.6e-06
04/30/22 14:23:37,8.6e-06
04/30/22 15:13:48,8.9e-06
04/30/22 16:24:01,7.3e-06
04/30/22 17:14:12,5.8e-06
04/30/22 18:04:23,5e-06
04/30/22 18:54:33,7.1e-06
04/30/22 19:44:44,8.9e-06
04/30/22 20:34:55,1.1e-05
04/30/22 21:25:05,1.3e-05
04/30/22 22:15:16,1.4e-05
04/30/22 23:05:27,1.5e-05
04/30/22 23:55:38,1.6e-05
05/01/22 00:00:39,1.6e-05
05/01/22 00:50:49,1.7e-05
05/01/22 01:41:00,1.8e-05
05/01/22 02:31:11,1.8e-05
05/01/22 03:21:21,1.8e-05
05/01/22 04:11:32,1.8e-05
05/01/22 05:01:42,1.8e-05
05/01/22 05:51:53,1.7e-05
05/01/22 06:42:04,1.7e-05
05/01/22 07:32:14,1.7e-05
05/01/22 08:22:25,1.7e-05
05/01/22 09:12:36,1e-05
05/02/22 08:04:50,1.6e-05
05/02/22 08:55:01,1.6e-05
05/02/22 09:45:11,1.6e-05
05/02/22 10:35:22,1.7e-05
05/02/22 11:25:32,1.7e-05
05/02/22 12:15:43,1.8e-05
05/02/22 13:05:54,2e-05
05/02/22 16:06:31,7.6e-05
05/02/22 16:16:41,8.2e-05
05/02/22 16:26:51,9.2e-05
05/02/22 16:37:02,9.6e-05
05/02/22 16:47:12,0.00011
05/02/22 16:57:23,0.00012
05/02/22 17:07:33,0.00013
05/02/22 17:17:44,0.00013
05/02/22 17:27:54,0.00014
05/02/22 17:38:04,0.00015
05/02/22 17:48:15,0.00016
05/02/22 17:58:25,0.00016
05/02/22 18:08:36,0.00017
05/02/22 18:18:46,0.00017
05/02/22 18:28:57,0.00018
05/02/22 18:39:07,0.00018
05/02/22 18:49:18,0.00019
05/02/22 18:59:28,0.00019
05/02/22 19:09:39,0.0002
05/02/22 19:19:49,0.0002
05/02/22 19:29:59,0.0002
05/02/22 19:40:10,0.00021
05/02/22 19:50:20,0.00021
05/02/22 20:00:31,0.00021
05/02/22 20:10:41,0.00021
05/02/22 20:20:52,0.00022
05/02/22 20:31:02,0.00022
05/02/22 20:41:13,0.00022
05/02/22 20:51:23,0.00022
05/02/22 21:01:34,0.00022
05/02/22 21:11:44,0.00022
05/02/22 21:21:55,0.00022
05/02/22 21:32:05,0.00022
05/02/22 21:42:15,0.00022
05/02/22 21:52:26,0.00022
05/02/22 22:02:36,0.00022
05/02/22 22:12:47,0.00022
05/02/22 22:22:57,0.00022
05/02/22 22:33:08,0.00022
05/02/22 22:43:18,0.00022
05/02/22 22:53:29,0.00022
05/02/22 23:03:39,0.00022
05/02/22 23:13:50,0.00022
05/02/22 23:24:00,0.00022
05/02/22 23:34:11,0.00022
05/02/22 23:44:21,0.00022
05/02/22 23:54:32,0.00022
05/03/22 00:00:38,0.00022
05/03/22 00:10:49,0.00022
05/03/22 00:20:59,0.00022
05/03/22 00:31:10,0.00022
05/03/22 00:41:20,0.00022
05/03/22 00:51:31,0.00022
05/03/22 01:01:41,0.00022
05/03/22 01:11:52,0.00022
05/03/22 01:22:02,0.00022
05/03/22 01:32:13,0.00022
05/03/22 01:42:23,0.00022
05/03/22 01:52:34,0.00022
05/03/22 02:02:44,0.00022
05/03/22 02:12:55,0.00022
05/03/22 02:23:05,0.00022
05/03/22 02:33:15,0.00021
05/03/22 02:43:26,0.00021
05/03/22 02:53:36,0.00021
05/03/22 03:03:47,0.00021
05/03/22 03:13:57,0.00021
05/03/22 03:24:08,0.00021
05/03/22 03:34:18,0.0002
05/03/22 03:44:28,0.0002
05/03/22 03:54:39,0.0002
05/03/22 04:04:49,0.0002
05/03/22 04:15:00,0.0002
05/03/22 04:25:10,0.0002
05/03/22 04:35:21,0.00019
05/03/22 04:45:31,0.00019
05/03/22 04:55:42,0.00019
05/03/22 05:05:52,0.00019
05/03/22 05:16:03,0.00019
05/03/22 05:26:13,0.00019
05/03/22 05:36:23,0.00019
05/03/22 05:46:34,0.00019
05/03/22 05:56:44,0.00018
05/03/22 06:06:55,0.00018
05/03/22 06:17:05,0.00018
05/03/22 06:27:16,0.00018
05/03/22 06:37:26,0.00018
05/03/22 06:47:37,0.00018
05/03/22 06:57:47,0.00018
05/03/22 07:07:58,0.00018
05/03/22 07:18:08,0.00018
05/03/22 07:28:19,0.00018
05/03/22 07:38:29,0.00017
05/03/22 07:48:39,0.00017
05/03/22 07:58:50,0.00017
05/03/22 08:09:00,0.00017
05/03/22 08:19:11,0.00017
05/03/22 08:29:21,0.00017
05/03/22 08:39:32,0.00017
05/03/22 08:49:42,0.00016
05/03/22 08:59:53,0.00016
05/03/22 09:21:08,0.00014
05/03/22 09:31:19,0.00014
05/03/22 09:41:29,0.00013
05/03/22 09:51:58,0.00013
05/03/22 10:02:08,0.00012
05/03/22 10:12:18,0.00012
05/03/22 10:22:29,0.00012
05/03/22 10:37:52,0.00011
05/03/22 10:48:03,0.00011
05/03/22 10:58:13,0.00011
05/03/22 11:08:24,0.00011
05/03/22 11:18:34,0.00011
05/03/22 11:28:45,0.00011
05/03/22 11:38:55,0.00011
05/03/22 11:49:06,0.0001
05/03/22 11:59:16,0.0001
05/03/22 12:09:27,0.0001
05/03/22 12:19:37,0.0001
05/03/22 12:29:47,0.0001
05/03/22 12:39:58,0.0001
05/03/22 12:50:08,0.0001
05/03/22 13:00:19,9.6e-05
05/03/22 13:10:29,0.0001
05/03/22 13:20:40,0.00012
05/03/22 13:30:50,0.00013
05/03/22 13:41:01,0.00014
05/03/22 13:51:11,0.00014
05/03/22 14:01:22,0.00015
05/03/22 14:11:32,0.00015
05/03/22 14:21:43,0.00016
05/03/22 14:31:53,0.00016
05/03/22 14:42:04,0.00016
05/03/22 14:52:14,0.00016
05/03/22 15:02:24,0.00016
05/03/22 15:12:35,0.00016
05/03/22 15:22:45,0.00016
05/03/22 15:32:56,0.00016
05/03/22 15:43:06,0.00016
05/03/22 15:53:17,0.00016
05/03/22 16:03:27,0.00016
05/03/22 16:13:38,0.00016
05/03/22 16:23:48,0.00016
05/03/22 16:33:59,0.00016
05/03/22 16:44:09,0.00016
05/03/22 16:54:20,0.00016
05/03/22 17:04:30,0.00016
05/03/22 17:14:41,0.00017
05/03/22 17:24:51,0.00017
05/03/22 17:35:02,0.00016
05/03/22 17:45:12,0.00017
05/03/22 17:55:23,0.00017
05/03/22 18:05:33,0.00016
05/03/22 18:15:44,0.00016
05/03/22 18:25:54,0.00016
05/03/22 18:36:05,0.00016
05/03/22 18:46:15,0.00016
05/03/22 18:56:25,0.00016
05/03/22 19:06:36,0.00016
05/03/22 19:16:46,0.00016
05/03/22 19:26:57,0.00016
05/03/22 19:37:07,0.00016
05/03/22 19:47:17,0.00016
05/03/22 19:57:28,0.00015
05/03/22 20:07:39,0.00015
05/03/22 20:17:49,0.00015
05/03/22 20:27:59,0.00015
05/03/22 20:38:10,0.00015
05/03/22 20:48:20,0.00015
05/03/22 20:58:31,0.00015
05/03/22 21:08:41,0.00015
05/03/22 21:18:52,0.00015
05/03/22 21:29:02,0.00015
05/03/22 21:39:13,0.00015
05/03/22 21:49:23,0.00015
05/03/22 21:59:34,0.00015
05/03/22 22:09:44,0.00015
05/03/22 22:19:55,0.00015
05/03/22 22:30:05,0.00015
05/03/22 22:40:16,0.00015
05/03/22 22:50:26,0.00015
05/03/22 23:00:36,0.00014
05/03/22 23:10:47,0.00014
05/03/22 23:20:58,0.00014
05/03/22 23:31:08,0.00014
05/03/22 23:41:18,0.00014
05/03/22 23:51:29,0.00014
